PID,College,Level,lab01,lab01 - Max Points,lab01 - Lateness (H:M:S),lab02,lab02 - Max Points,lab02 - Lateness (H:M:S),project01,project01 - Max Points,project01 - Lateness (H:M:S),lab03,lab03 - Max Points,lab03 - Lateness (H:M:S),project01_free_response,project01_free_response - Max Points,project01_free_response - Lateness (H:M:S),lab04,lab04 - Max Points,lab04 - Lateness (H:M:S),lab05,lab05 - Max Points,lab05 - Lateness (H:M:S),project02_checkpoint01,project02_checkpoint01 - Max Points,project02_checkpoint01 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Lateness (H:M:S),lab06,lab06 - Max Points,lab06 - Lateness (H:M:S),project02_checkpoint02,project02_checkpoint02 - Max Points,project02_checkpoint02 - Lateness (H:M:S),lab07,lab07 - Max Points,lab07 - Lateness (H:M:S),project02,project02 - Max Points,project02 - Lateness (H:M:S),project02_free_response,project02_free_response - Max Points,project02_free_response - Lateness (H:M:S),lab08,lab08 - Max Points,lab08 - Lateness (H:M:S),lab09,lab09 - Max Points,lab09 - Lateness (H:M:S),project03_checkpoint01,project03_checkpoint01 - Max Points,project03_checkpoint01 - Lateness (H:M:S),project03,project03 - Max Points,project03 - Lateness (H:M:S),Final,Final - Max Points,Final - Lateness (H:M:S),Total Lateness (H:M:S),project05_free_response,project05_free_response - Max Points,project05_free_response - Lateness (H:M:S),project04,project04 - Max Points,project04 - Lateness (H:M:S),project05,project05 - Max Points,project05 - Lateness (H:M:S),discussion01,discussion01 - Max Points,discussion01 - Lateness (H:M:S),discussion02,discussion02 - Max Points,discussion02 - Lateness (H:M:S),discussion03,discussion03 - Max Points,discussion03 - Lateness (H:M:S),discussion04,discussion04 - Max Points,discussion04 - Lateness (H:M:S),discussion05,discussion05 - Max Points,discussion05 - Lateness (H:M:S),discussion06,discussion06 - Max Points,discussion06 - Lateness (H:M:S),discussion07,discussion07 - Max Points,discussion07 - Lateness (H:M:S),discussion08,discussion08 - Max Points,discussion08 - Lateness (H:M:S),discussion09,discussion09 - Max Points,discussion09 - Lateness (H:M:S),discussion10,discussion10 - Max Points,discussion10 - Lateness (H:M:S)
A14721419,SI,JR,99,100,0:00:00,86,100,0:00:00,75,85,0:00:00,90,100,252:56:22,15,15,0:00:00,98,100,0:00:00,70,70,0:00:00,10,10,0:00:00,47,47,0:00:00,83,85,0:00:00,9,10,0:00:00,97,100,382:51:44,75,75,0:00:00,18,25,0:00:00,88,100,0:00:00,43,50,0:00:00,0,10,0:00:00,86,100,0:00:00,71,87,0:00:00,780:01:28,21,25,0:00:00,66,75,0:00:00,72,75,0:00:00,10,10,0:00:00,10,10,780:01:28,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,780:01:28,10,10,0:00:00
A14883274,TH,JR,98,100,0:00:00,52,100,0:00:00,53,85,0:00:00,73,100,0:00:00,11,15,0:00:00,77,100,0:00:00,70,70,0:00:00,10,10,0:00:00,44,47,0:00:00,85,85,645:24:50,9,10,0:00:00,89,100,0:00:00,64,75,0:00:00,25,25,0:00:00,94,100,0:00:00,43,50,0:00:00,0,10,0:00:00,88,100,0:00:00,68,87,0:00:00,669:12:21,16,25,0:00:00,50,75,0:00:00,56,75,669:12:21,7,10,0:00:00,7,10,669:12:21,8,10,0:00:00,7,10,669:12:21,7,10,0:00:00,8,10,0:00:00,7,10,669:12:21,7,10,0:00:00,7,10,0:00:00,8,10,0:00:00
A14164800,SI,SR,86,100,0:00:00,45,100,0:00:00,44,85,0:00:00,40,100,0:00:00,14,15,0:00:00,73,100,0:00:00,63,70,0:00:00,5,10,0:00:00,37,47,0:00:00,73,85,764:40:45,7,10,0:00:00,72,100,0:04:51,63,75,0:00:00,25,25,0:00:00,71,100,0:00:00,38,50,0:00:00,6,10,0:00:00,75,100,0:00:00,73,87,0:00:00,828:47:53,14,25,0:00:00,41,75,764:40:45,47,75,0:00:00,6,10,0:00:00,7,10,0:00:00,6,10,0:00:00,6,10,0:00:00,7,10,0:00:00,7,10,0:00:00,7,10,0:00:00,6,10,0:04:51,6,10,0:00:00,7,10,0:00:00
A14847419,TH,JR,100,100,0:00:00,100,100,0:00:00,78,85,0:00:00,92,100,0:00:00,15,15,0:00:00,91,100,0:00:00,62,70,0:00:00,4,10,0:00:00,44,47,0:00:00,57,85,0:00:00,2,10,0:00:00,100,100,0:00:00,69,75,0:00:00,25,25,0:00:00,95,100,0:00:00,39,50,0:00:00,0,10,0:00:00,94,100,0:00:00,75,87,0:00:00,120:01:11,23,25,0:00:00,73,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14162943,SI,JR,66,100,0:00:00,33,100,0:00:00,42,85,0:00:00,69,100,0:00:00,13,15,0:00:00,81,100,47:42:33,45,70,0:00:00,0,10,0:00:00,18,47,0:00:00,63,85,0:00:00,2,10,0:00:00,60,100,0:00:00,71,75,0:00:00,24,25,0:00:00,36,100,0:00:00,50,50,0:00:00,0,10,0:00:00,90,100,0:00:00,65,87,0:00:00,93:16:10,13,25,0:00:00,43,75,0:00:00,49,75,0:00:00,6,10,0:00:00,6,10,0:00:00,6,10,0:00:00,6,10,0:00:00,6,10,0:00:00,6,10,0:00:00,6,10,0:00:00,5,10,0:00:00,5,10,0:00:00,6,10,0:00:00
A14282114,RE,SR,91,100,0:00:00,100,100,0:00:00,70,85,0:00:00,100,100,0:00:00,15,15,0:00:00,97,100,0:00:00,70,70,0:00:00,0,10,0:00:00,44,47,0:00:00,78,85,0:00:00,10,10,0:00:00,91,100,0:00:00,64,75,0:00:00,25,25,0:00:00,100,100,0:00:00,43,50,0:00:00,0,10,0:00:00,100,100,0:00:00,77,87,0:00:00,0:00:00,20,25,0:00:00,66,75,0:00:00,72,75,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,10,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00
A14297403,MU,SR,96,100,0:00:00,47,100,0:00:00,54,85,0:00:00,74,100,0:00:00,12,15,0:00:00,84,100,46:35:38,61,70,0:00:00,,10,0:00:00,35,47,0:00:00,64,85,0:00:00,,10,0:00:00,49,100,0:00:00,69,75,0:00:00,16,25,0:00:00,64,100,0:00:00,27,50,0:00:00,0,10,0:00:00,92,100,0:00:00,83,87,0:00:00,46:35:38,17,25,0:00:00,53,75,0:00:00,59,75,0:00:00,8,10,0:00:00,7,10,46:35:38,8,10,0:00:00,8,10,0:00:00,8,10,0:00:00,8,10,46:35:38,7,10,0:00:00,8,10,0:00:00,7,10,46:35:38,8,10,0:00:00
A14369624,WA,JR,100,100,0:00:00,98,100,0:00:00,81,85,0:00:00,97,100,0:00:00,13,15,0:00:00,100,100,4:09:52,68,70,0:00:00,10,10,0:00:00,43,47,0:00:00,81,85,0:00:00,5,10,0:00:00,91,100,0:00:00,60,75,0:00:00,21,25,0:00:00,92,100,0:00:00,49,50,0:00:00,0,10,0:00:00,95,100,0:00:00,87,87,0:00:00,4:09:52,22,25,0:00:00,74,75,0:00:00,75,75,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,4:09:52,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14137484,FI,SR,90,100,0:00:00,100,100,0:00:00,66,85,0:00:00,99,100,0:00:00,9,15,0:00:00,97,100,42:06:36,70,70,0:00:00,10,10,0:00:00,32,47,0:00:00,81,85,362:42:24,10,10,0:00:00,86,100,0:00:00,67,75,0:00:00,24,25,0:00:00,62,100,0:00:00,50,50,0:00:00,8,10,0:00:00,93,100,0:00:00,81,87,0:00:00,534:39:53,19,25,0:00:00,61,75,0:00:00,67,75,0:00:00,9,10,0:00:00,9,10,0:00:00,8,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,0:00:00,9,10,42:06:36,9,10,0:00:00
A14353945,WA,JR,100,100,0:00:00,100,100,0:00:00,79,85,0:00:00,82,100,0:00:00,6,15,0:00:00,89,100,47:53:28,63,70,0:00:00,6,10,0:00:00,45,47,0:00:00,78,85,442:00:09,10,10,0:00:00,92,100,0:00:00,75,75,0:00:00,21,25,0:00:00,50,100,0:00:00,37,50,0:00:00,0,10,0:00:00,88,100,0:00:00,74,87,0:00:00,489:53:37,23,25,489:53:37,69,75,0:00:00,75,75,0:00:00,10,10,442:00:09,10,10,0:00:00,10,10,489:53:37,10,10,442:00:09,10,10,489:53:37,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00
A14600543,RE,SR,96,100,0:00:00,98,100,0:00:00,74,85,0:00:00,95,100,385:35:30,15,15,0:00:00,87,100,0:00:00,70,70,288:51:34,4,10,0:00:00,45,47,0:00:00,73,85,313:07:17,6,10,0:00:00,98,100,0:00:00,75,75,0:00:00,25,25,0:00:00,91,100,0:00:00,50,50,0:00:00,6,10,0:00:00,96,100,0:00:00,75,87,0:00:00,987:54:39,22,25,0:00:00,63,75,385:35:30,69,75,0:00:00,9,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,0:00:00,10,10,987:54:39,10,10,0:00:00,10,10,0:00:00
A14164800,MU,SR,87,100,0:00:00,46,100,0:00:00,45,85,0:00:00,41,100,0:00:00,8,15,0:00:00,74,100,0:00:00,70,70,0:00:00,10,10,0:00:00,27,47,0:00:00,67,85,764:40:45,10,10,0:00:00,71,100,0:04:51,70,75,0:00:00,25,25,0:00:00,69,100,0:00:00,26,50,0:00:00,0,10,0:00:00,78,100,0:00:00,70,87,0:00:00,828:47:53,13,25,0:00:00,44,75,0:04:51,50,75,0:04:51,7,10,0:00:00,7,10,828:47:53,6,10,0:04:51,6,10,0:00:00,6,10,0:00:00,7,10,0:00:00,6,10,0:00:00,6,10,0:00:00,7,10,0:00:00,6,10,0:00:00
